Year,Month,jobs
1979,Sep,2884.0
1980,Sep,2936.0
1981,Sep,2920.0
1982,Sep,2876.0
1983,Sep,2935.0
1984,Sep,2955.0
1985,Sep,3038.0
1986,Sep,3043.0
1987,Sep,3100.0
1988,Sep,3141.0
1989,Sep,3127.0
1990,Sep,3136.0
1991,Sep,3121.0
1992,Sep,3107.0
1993,Sep,3057.0
1994,Sep,3002.0
1995,Sep,2929.0
1996,Sep,2866.0
1997,Sep,2772.0
1998,Sep,2772.0
1999,Sep,2766.0
2000,Sep,2745.0
2001,Sep,2770.0
2002,Sep,2768.0
2003,Sep,2749.0
2004,Sep,2729.0
2005,Sep,2732.0
2006,Sep,2732.0
2007,Sep,2737.0
2008,Sep,2768.0
2009,Sep,2826.0
2010,Sep,2869.0
2011,Sep,2846.0
2012,Sep,2822.0
2013,Sep,2753.0
2014,Sep,2737.0
2015,Sep,2760.0
2016,Sep,2808.0
2017,Sep,2803.0
1939,Oct,968.0
1940,Oct,1106.0
1941,Oct,1557.0
1942,Oct,2734.0
1943,Oct,3025.0
1944,Oct,3122.0
1945,Oct,2691.0
1946,Oct,2234.0
1947,Oct,1912.0
1948,Oct,2011.0
1949,Oct,1957.0
1950,Oct,2113.0
1951,Oct,2493.0
1952,Oct,2543.0
1953,Oct,2350.0
1954,Oct,2283.0
1955,Oct,2307.0
1956,Oct,2339.0
1957,Oct,2293.0
1958,Oct,2311.0
1959,Oct,2342.0
1960,Oct,2351.0
1961,Oct,2419.0
1962,Oct,2469.0
1963,Oct,2476.0
1964,Oct,2461.0
1965,Oct,2521.0
1966,Oct,2767.0
1967,Oct,2873.0
1968,Oct,2864.0
1969,Oct,2889.0
1970,Oct,2827.0
1971,Oct,2845.0
1972,Oct,2811.0
1973,Oct,2791.0
1974,Oct,2875.0
1975,Oct,2893.0
1976,Oct,2853.0
1977,Oct,2867.0
1978,Oct,2915.0
1979,Oct,2887.0
1980,Oct,2958.0
1981,Oct,2920.0
1982,Oct,2890.0
1983,Oct,2928.0
1984,Oct,2957.0
1985,Oct,3039.0
1986,Oct,3045.0
1987,Oct,3111.0
1988,Oct,3153.0
1989,Oct,3124.0
1990,Oct,3114.0
1991,Oct,3131.0
1992,Oct,3090.0
1993,Oct,3039.0
1994,Oct,2997.0
1995,Oct,2934.0
1996,Oct,2845.0
1997,Oct,2791.0
1998,Oct,2778.0
1999,Oct,2766.0
2000,Oct,2736.0
2001,Oct,2763.0
2002,Oct,2780.0
2003,Oct,2742.0
2004,Oct,2724.0
2005,Oct,2735.0
2006,Oct,2731.0
2007,Oct,2734.0
2008,Oct,2772.0
